emp_title,emp_length,homeownership,annual_income,debt_to_income,delinq_2y,earliest_credit_line,total_credit_lines,open_credit_lines,total_debit_limit,loan_purpose,loan_amount,balance,account_never_delinq_percent
global config engineer ,3,MORTGAGE,90000,18.01,0,2001,28,10,11100,moving,28000,27015.86,92.9
warehouse office clerk,10,RENT,40000,5.04,0,1996,30,14,16500,debt_consolidation,5000,4651.37,100
assembly,3,RENT,40000,21.15,0,2006,31,10,4300,other,2000,1824.63,93.5
customer service,1,RENT,30000,10.16,0,2007,4,4,19400,debt_consolidation,21600,18853.26,100
security supervisor ,10,RENT,35000,57.96,0,2008,22,16,32700,credit_card,23000,21430.15,100
,NA,OWN,34000,6.46,1,1990,32,12,27200,other,5000,4256.71,78.1
hr ,10,MORTGAGE,35000,23.66,0,2004,12,10,9100,credit_card,24000,22560,100
police,10,MORTGAGE,110000,16.19,1,2005,30,15,22250,debt_consolidation,20000,19005.39,93
parts,10,MORTGAGE,65000,36.48,1,1998,35,21,36700,home_improvement,20000,18156.66,97.1
4th person,3,RENT,30000,18.91,0,2001,9,6,14700,credit_card,6400,6077.13,100
supervisor,10,MORTGAGE,75000,10.45,0,1996,22,10,5000,debt_consolidation,25000,24143.51,94.1
register nurse,2,MORTGAGE,91900,1.82,0,2000,26,10,9000,other,40000,38434.2,92
respiratory therapist & sleep lab tech,5,MORTGAGE,122000,12.06,0,1990,32,12,12100,debt_consolidation,16000,14525.3,84.4
senior inspector,10,MORTGAGE,88000,3.67,0,1984,65,21,70800,credit_card,17000,16326.13,98.4
,NA,MORTGAGE,17000,33.98,1,2006,22,10,3600,debt_consolidation,3000,2744.21,90.9
dental hygienist,10,MORTGAGE,60000,38.46,0,1995,21,11,39700,credit_card,20000,19172.64,100
,NA,MORTGAGE,60000,31.22,0,2003,21,9,15800,credit_card,12000,11374.52,95.2
onsite medical ,3,RENT,72000,20.33,0,2006,12,6,2500,debt_consolidation,30000,28798.08,91.7
operational risk manager,10,MORTGAGE,210000,9.53,0,2003,18,7,17500,medical,5000,0,100
welder,1,MORTGAGE,83000,18.44,3,2005,11,6,8300,debt_consolidation,20000,0,63.6
maintenance adm assistant,10,MORTGAGE,50000,15.6,0,2003,13,9,18800,credit_card,7000,6102.23,100
warranty administrator,1,MORTGAGE,42000,32,0,1991,19,9,10100,credit_card,10000,9296.37,100
underwriter,5,MORTGAGE,100000,26.53,0,2002,64,17,26200,debt_consolidation,21050,20045.3,100
,NA,MORTGAGE,40280,7.27,0,1997,10,4,7500,home_improvement,3500,3323.42,90
program analyst ,10,RENT,82000,17.31,0,1999,26,7,11500,credit_card,8000,7403.61,88
surveyor/cadd tech,7,MORTGAGE,55000,14.42,0,2009,20,14,22100,debt_consolidation,18000,17342.65,100
associated ,1,RENT,55000,13.68,0,2013,17,11,17700,credit_card,10000,9432.28,100
inventory control specialist,5,RENT,33000,19.38,0,2013,9,8,17600,debt_consolidation,3200,2557.44,100
inventory control,3,RENT,60000,11,0,1998,13,9,36400,debt_consolidation,10000,8704.48,92.3
sr direct supoort professional,4,MORTGAGE,48000,2.88,0,2002,26,9,25000,house,6000,5540.54,100
director of operations,4,MORTGAGE,106000,26.25,0,1997,36,15,62120,debt_consolidation,12000,10878.71,100
hospitalist,3,MORTGAGE,245000,24.9,0,2002,37,20,74100,debt_consolidation,40000,37878.15,100
teacher,9,MORTGAGE,50000,36.75,1,1982,31,20,71100,credit_card,19000,18214.02,90.3
controller,3,MORTGAGE,80000,28.3,0,2004,27,14,23800,debt_consolidation,28000,27169.59,96.3
deputy,10,MORTGAGE,140000,13.82,0,1993,21,12,58100,debt_consolidation,15000,0,100
armed protection officer ,1,OWN,70000,0,0,2004,13,3,0,small_business,2400,0,92.3
driver,2,RENT,45000,10.59,0,2003,9,7,11300,debt_consolidation,10000,8961.95,100
supplies clerk,10,MORTGAGE,70000,17.06,0,1988,21,14,12900,car,24000,23455.27,95.2
loan consultant ,2,RENT,75000,18.53,0,2006,12,6,19600,other,9500,8350.57,100
bank coordinator,2,RENT,53592,7.1,0,2009,6,4,18800,other,30000,27196.39,100
,NA,MORTGAGE,19000,24.79,0,2004,12,6,3000,other,10000,9465.3,100
senior recruiter,5,RENT,90000,15.72,0,2005,24,10,23900,moving,15000,14254.01,100
reader advisor,10,RENT,77000,14.82,0,1977,29,14,27700,debt_consolidation,35000,33391.61,96.6
truck driver,2,RENT,42000,25.89,0,2004,11,6,8300,credit_card,10000,9097.26,100
sales,4,MORTGAGE,130000,13.51,0,1991,15,11,34300,home_improvement,40000,38042.58,100
director of support services,10,OWN,76300,10.71,0,1980,30,12,16800,debt_consolidation,15000,13092.56,96.7
rn,2,MORTGAGE,190000,2.68,0,2004,17,9,78300,debt_consolidation,20000,18991.05,100
police recruit,0,RENT,41000,25.7,0,2008,23,7,10300,debt_consolidation,4500,4093.75,100
lead teller,2,RENT,30000,3.64,0,2012,9,7,17000,car,16000,14947.68,100
registered nurse,6,MORTGAGE,88000,17.24,0,2004,39,25,32000,credit_card,10000,9036.27,97.4
hes advisor ,2,MORTGAGE,115000,18.72,0,2005,21,15,40150,debt_consolidation,20000,19255.22,76
sr admin assistant,10,RENT,95731,19.64,0,2002,37,15,33700,debt_consolidation,20600,19821.53,100
president,2,RENT,127000,9.12,1,2013,11,9,32300,major_purchase,35000,33396.01,100
hvac technician,10,MORTGAGE,75000,22.91,0,1993,27,8,23000,debt_consolidation,10000,9234.27,100
nurse assistant,5,MORTGAGE,70000,21.41,0,2008,21,6,14800,debt_consolidation,12000,11081.12,100
,NA,OWN,22000,13.05,0,1984,6,3,2300,debt_consolidation,1925,1842.26,80
driver,8,MORTGAGE,75000,20.16,0,2006,39,23,49600,house,15000,13871.88,100
gourmet food server,10,MORTGAGE,73000,39.08,0,2007,28,24,40600,debt_consolidation,20000,18156.66,100
,NA,MORTGAGE,76000,14.62,0,2009,15,14,56300,debt_consolidation,6000,5391.31,100
program manager,10,RENT,188000,11.64,0,2005,26,24,28500,debt_consolidation,10000,8965.72,100
deputy assessor ,8,MORTGAGE,50000,12.15,0,2007,27,13,25600,debt_consolidation,25000,21955.1,96.2
service tech,10,OWN,58000,12.58,0,2004,22,10,17000,debt_consolidation,10000,9275.14,86.4
senior technically writer,1,RENT,105000,16.73,0,1990,6,6,51100,debt_consolidation,6000,5417.78,100
rn,10,MORTGAGE,114000,28.13,1,2001,28,17,33000,credit_card,20000,19297.02,96.4
escrow manager,10,MORTGAGE,150000,7.89,0,1992,22,8,54000,medical,15000,13504.32,100
quality control,0,MORTGAGE,69000,15.42,0,2003,37,8,57700,debt_consolidation,20000,18452.04,94.3
medical billing account rep,10,MORTGAGE,30000,32.4,0,2005,27,23,16850,debt_consolidation,10500,9949.81,93
truck driver,5,MORTGAGE,60000,17.28,0,2002,16,13,12300,credit_card,11400,10862.71,100
general manager,5,MORTGAGE,74000,32.06,0,1999,15,9,66400,car,5500,5116.52,100
bartender,0,RENT,25000,3.7,1,1972,6,4,1200,debt_consolidation,5000,4412.9,66.7
,NA,OWN,32000,22.09,0,1998,13,6,2500,other,9600,8976.73,76.9
interpreter/translator/school enrolment ,0,RENT,31000,16.26,0,2009,32,21,22000,other,15000,13238.74,100
accounts receivable manager,3,RENT,64000,8.72,0,2010,5,5,25000,debt_consolidation,10000,9241.17,100
asst to the director of theatre,3,RENT,24000,16.3,0,2011,11,11,10000,major_purchase,10450,9609.03,100
rn,2,MORTGAGE,77000,16.04,0,2012,23,16,14800,credit_card,7200,6527.2,100
warehouse,10,MORTGAGE,31000,28.42,0,2001,15,8,20300,debt_consolidation,35000,32925.97,100
,NA,RENT,13930,21.94,0,2010,11,6,2700,debt_consolidation,4200,3695.17,100
operations manager,0,RENT,60000,19.22,0,2007,23,14,10600,other,2400,2244.18,100
administrative assistant,9,MORTGAGE,41787,37.74,0,1992,32,11,22300,credit_card,12800,11693.32,100
composite tehnician,4,MORTGAGE,45000,15.44,0,2005,31,18,20700,other,8000,7103.69,100
pta,0,MORTGAGE,77000,18.39,0,2001,11,7,12400,debt_consolidation,30000,27442.4,90
service director,1,MORTGAGE,72000,27.23,0,2001,21,13,7900,debt_consolidation,7000,6178.08,95.2
it support,8,MORTGAGE,165000,11.14,0,2000,24,8,43500,other,25000,22441.1,100
senior accounts payable clerk,10,MORTGAGE,43000,1.56,0,1984,30,15,35600,home_improvement,40000,37877.63,100
master driver,10,MORTGAGE,90000,17.44,0,1999,32,10,63500,debt_consolidation,24000,22440.6,100
